,age,inheritance,payment,principal,coupon,prob_survival,prob_dying,prob_death,TIPS,annuity_payment,annuity_cost,discount,annuity_purchase,annuity_benefit,total_cost,tips_cost,annuity_cost2,,,Age,Inheritance,Payment,Principal,Coupon,Prob survival,Prob of dying,Prob death,TIPS,Payment,Cost,Discount,Purchase,Benefit,Total Cost,TIPS Cost,Annuity Cost,,Age,Inheritance,Payment,Principal,Coupon,Prob survival,Prob of dying,Prob death,TIPS,Payment,Cost,Discount,Purchase,Benefit,Total Cost,TIPS Cost,Annuity Cost
0,66,26345.10497,1000,814.3473368,0,0.991029481,0.008970519,0.008970519,0,1000,966.8580305,0.975609756,0,0,27763.0908,26345.10497,1417.985826,,0,66,"$26,345","$1,000",$814.34733679,$0.0000000,99.10%,0.897051875119%,0.90%,0.000000%,"$1,000",$967,97.6%,$0,$0,"$27,763","$26,345","$1,418",, -   , 0 , -   , 0 , -   , 0 , 0 , 0 , -   , -   , 0 , 0 , -   , -   , 0 , 0 , 0 
1,67,25530.75764,1000,814.3473368,0,0.981305467,0.009812033,0.009724014,0,1030,962.0412907,0.951814396,0,0,26997.3492,25530.75764,1466.591559,,1,67,"$25,531","$1,000",$814.34733679,$0.0000000,98.13%,0.981203327904%,0.97%,0.000000%,"$1,030",$962,95.2%,$0,$0,"$26,997","$25,531","$1,467",, -   , 0 , -   , 0 , -   , -   , 0 , 0 , -   , -   , 0 , 0 , -   , -   , 0 , 0 , 0 
2,68,24716.4103,1000,814.3473368,0,0.970774037,0.010732061,0.01053143,0,1060.9,956.3591248,0.928599411,0,0,26234.56281,24716.4103,1518.152511,,2,68,"$24,716","$1,000",$814.34733679,$0.0000000,97.08%,1.073206103519%,1.05%,0.000000%,"$1,061",$956,92.9%,$0,$0,"$26,235","$24,716","$1,518",, -   , 0 , -   , 0 , -   , 0 , (0), 0 , -   , -   , 0 , -   , -   , -   , 0 , 0 , 0 
3,69,23902.06296,1000,814.3473368,0,0.959379244,0.011737843,0.011394793,0,1092.727,949.7439391,0.905950645,0,0,25475.05069,23902.06296,1572.987724,,3,69,"$23,902","$1,000",$814.34733679,$0.0000000,95.94%,1.173784295045%,1.14%,0.000000%,"$1,093",$950,90.6%,$0,$0,"$25,475","$23,902","$1,573",, -   , 0 , -   , 0 , -   , 0 , (0), (0), -   , -   , 0 , 0 , -   , -   , 0 , 0 , 0 
4,70,23087.71563,1000,814.3473368,0,0.947063432,0.012837271,0.012315811,0,1125.50881,942.1252422,0.883854288,0,0,24719.17789,23087.71563,1631.462265,,4,70,"$23,088","$1,000",$814.34733679,$0.0000000,94.71%,1.283727112659%,1.23%,0.000000%,"$1,126",$942,88.4%,$0,$0,"$24,719","$23,088","$1,631",, -   , 0 , -   , 0 , -   , 0 , (0), (0), -   , -   , 0 , 0 , -   , -   , -   , 0 , 0 
5,71,22273.36829,1000,814.3473368,2.035868342,0.933767662,0.014038944,0.013295771,0.0025,1159.274074,933.4300122,0.862296866,0,0,23967.36339,22273.36829,1693.995096,,5,71,"$22,273","$1,000",$814.34733679,$2.03586834,93.38%,1.403894410143%,1.33%,0.250000%,"$1,159",$933,86.2%,$0,$0,"$23,967","$22,273","$1,694",, -   , 0 , -   , 0 , 0 , 0 , (0), 0 , -   , 0 , 0 , 0 , -   , -   , 0 , 0 , 0 
6,72,21459.02095,1000,816.3832051,4.081916026,0.919432249,0.015352226,0.014335412,0.005,1194.052297,923.5831971,0.841265235,0,0,23220.08947,21459.02095,1761.068516,,6,72,"$21,459","$1,000",$816.38320514,$4.08191603,91.94%,1.535222614199%,1.43%,0.500000%,"$1,194",$924,84.1%,$0,$0,"$23,220","$21,459","$1,761",, -   , -   , -   , -   , 0 , 0 , (0), 0 , -   , 0 , 0 , 0 , -   , -   , 0 , -   , 0 
7,73,20642.63775,1000,820.4651212,4.78604654,0.903997454,0.016787311,0.015434795,0.005833333,1229.873865,912.5083713,0.820746571,0,0,22475.87728,20642.63775,1833.239536,,7,73,"$20,643","$1,000",$820.46512116,$4.78604654,90.40%,1.678731072009%,1.54%,0.583333%,"$1,230",$913,82.1%,$0,$0,"$22,476","$20,643","$1,833",, -   , 0 , -   , 0 , 0 , 0 , (0), 0 , 0 , 0 , 0 , 0 , -   , -   , 0 , 0 , 0 
8,74,19822.17263,1000,825.2511677,5.501674451,0.887404321,0.018355288,0.016593134,0.006666667,1266.770081,900.1285733,0.800728362,0,0,21733.32628,19822.17263,1911.153655,,8,74,"$19,822","$1,000",$825.25116770,$5.50167445,88.74%,1.835528829795%,1.66%,0.666667%,"$1,267",$900,80.1%,$0,$0,"$21,733","$19,822","$1,911",, -   , 0 , -   , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , -   , -   , 0 , 0 
9,75,18996.92146,1000,830.7528422,6.230646316,0.869595697,0.020068219,0.017808624,0.0075,1304.773184,886.3673505,0.781198402,0,0,20992.48306,18996.92146,1995.561605,,9,75,"$18,997","$1,000",$830.75284215,$6.23064632,86.96%,2.006821851314%,1.78%,0.750000%,"$1,305",$886,78.1%,$0,$0,"$20,992","$18,997","$1,996",, -   , 0 , -   , 0 , 0 , 0 , (0), 0 , -   , 0 , 0 , 0 , -   , -   , 0 , 0 , 0 
